,0
0,
1,
2,
3,
4,N/A
5,
6,
7,
8,
9,
10,
11,
12,N/A
13,N/A
14,N/A
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,N/A
34,
35,
36,
37,
38,
39,
40,
41,N/A
42,
43,
44,
45,
46,
47,
48,
49,N/A
50,N/A
51,N/A
52,
53,N/A
54,N/A
55,N/A
56,N/A
57,N/A
58,N/A
59,
60,
61,N/A
62,
63,
64,
65,
66,
67,
68,N/A
69,
70,N/A
71,
72,
73,N/A
74,N/A
75,
76,N/A
77,N/A
78,N/A
79,
80,N/A
81,N/A
82,
83,N/A
84,
85,N/A
86,N/A
87,
88,N/A
89,N/A
90,N/A
91,N/A
92,N/A
93,N/A
94,N/A
95,N/A
96,N/A
97,N/A
98,N/A
99,N/A
